,movie,year,imdb,metascore,votes
2422,Escape Plan,(2013),6.7,49,214522
2423,Ender's Game,(2013),6.6,51,213460
2424,The Lone Ranger,(2013),6.4,37,210849
2425,Warm Bodies,(2013),6.9,60,210363
2426,Gangster Squad,(2013),6.7,40,197300
2427,White House Down,(2013),6.4,52,194444
2428,The Wolf of Wall Street,(2013),8.2,75,1056918
2429,Gravity,(2013),7.7,96,720141
2430,Iron Man Three,(2013),7.2,62,705635
2431,Man of Steel,(2013),7.1,55,654863
2432,12 Years a Slave,(2013),8.1,96,586121
2433,The Hunger Games: Catching Fire,(2013),7.5,76,581329
2434,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570917
2435,World War Z,(2013),7.0,63,560952
2436,Now You See Me,(I) (2013),7.3,50,559564
2437,Thor: The Dark World,(2013),6.9,54,552324
2438,Prisoners,(2013),8.1,74,536989
2439,Frozen,(I) (2013),7.5,74,524394
2440,Her,(2013),8.0,90,477466
2441,Oblivion,(I) (2013),7.0,54,459364
2442,Star Trek Into Darkness,(2013),7.7,72,448389
2443,Pacific Rim,(2013),6.9,65,447746
2444,The Great Gatsby,(2013),7.3,55,440223
2445,American Hustle,(2013),7.2,90,422551
2446,Dallas Buyers Club,(2013),8.0,84,407511
2447,The Wolverine,(2013),6.7,61,407042
2448,The Conjuring,(2013),7.5,68,406463
2449,Elysium,(I) (2013),6.6,61,399795
2450,Rush,(I) (2013),8.1,75,399124
2451,Captain Phillips,(2013),7.8,83,392262
2452,We're the Millers,(2013),7.0,44,376311
2453,This Is the End,(2013),6.6,67,364672
2454,Furious 6,(2013),7.1,61,350880
2455,Despicable Me 2,(2013),7.4,62,348879
2456,Monsters University,(2013),7.3,65,297261
2457,The Secret Life of Walter Mitty,(2013),7.3,54,278160
2458,The Hangover Part III,(2013),5.8,30,275007
2459,About Time,(I) (2013),7.8,55,270663
2460,Lone Survivor,(2013),7.5,60,249721
2461,Snowpiercer,(2013),7.1,84,246625
2462,Kick-Ass 2,(2013),6.5,41,241840
2463,Olympus Has Fallen,(2013),6.5,41,240110
2464,The World's End,(2013),7.0,81,240092
2465,Don Jon,(2013),6.5,66,218193
2466,Escape Plan,(2013),6.7,49,214522
2467,Ender's Game,(2013),6.6,51,213460
2468,The Lone Ranger,(2013),6.4,37,210849
2469,Warm Bodies,(2013),6.9,60,210363
2470,Gangster Squad,(2013),6.7,40,197300
2471,White House Down,(2013),6.4,52,194444
2472,The Wolf of Wall Street,(2013),8.2,75,1056918
2473,Gravity,(2013),7.7,96,720141
2474,Iron Man Three,(2013),7.2,62,705635
2475,Man of Steel,(2013),7.1,55,654863
2476,12 Years a Slave,(2013),8.1,96,586121
2477,The Hunger Games: Catching Fire,(2013),7.5,76,581329
2478,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570917
2479,World War Z,(2013),7.0,63,560952
2480,Now You See Me,(I) (2013),7.3,50,559564
2481,Thor: The Dark World,(2013),6.9,54,552324
2482,Prisoners,(2013),8.1,74,536989
2483,Frozen,(I) (2013),7.5,74,524394
2484,Her,(2013),8.0,90,477466
2485,Oblivion,(I) (2013),7.0,54,459364
2486,Star Trek Into Darkness,(2013),7.7,72,448389
2487,Pacific Rim,(2013),6.9,65,447746
2488,The Great Gatsby,(2013),7.3,55,440223
2489,American Hustle,(2013),7.2,90,422551
2490,Dallas Buyers Club,(2013),8.0,84,407511
2491,The Wolverine,(2013),6.7,61,407042
2492,The Conjuring,(2013),7.5,68,406463
2493,Elysium,(I) (2013),6.6,61,399795
2494,Rush,(I) (2013),8.1,75,399124
2495,Captain Phillips,(2013),7.8,83,392262
2496,We're the Millers,(2013),7.0,44,376311
2497,This Is the End,(2013),6.6,67,364672
2498,Furious 6,(2013),7.1,61,350880
2499,Despicable Me 2,(2013),7.4,62,348879
2500,Monsters University,(2013),7.3,65,297261
2501,The Secret Life of Walter Mitty,(2013),7.3,54,278160
2502,The Hangover Part III,(2013),5.8,30,275007
2503,About Time,(I) (2013),7.8,55,270663
2504,Lone Survivor,(2013),7.5,60,249721
2505,Snowpiercer,(2013),7.1,84,246625
2506,Kick-Ass 2,(2013),6.5,41,241840
2507,Olympus Has Fallen,(2013),6.5,41,240110
2508,The World's End,(2013),7.0,81,240092
2509,Don Jon,(2013),6.5,66,218193
2510,Escape Plan,(2013),6.7,49,214522
2511,Ender's Game,(2013),6.6,51,213460
2512,The Lone Ranger,(2013),6.4,37,210849
2513,Warm Bodies,(2013),6.9,60,210363
2514,Gangster Squad,(2013),6.7,40,197300
2515,White House Down,(2013),6.4,52,194444
2516,The Wolf of Wall Street,(2013),8.2,75,1056918
2517,Gravity,(2013),7.7,96,720141
2518,Iron Man Three,(2013),7.2,62,705635
2519,Man of Steel,(2013),7.1,55,654863
2520,12 Years a Slave,(2013),8.1,96,586121
2521,The Hunger Games: Catching Fire,(2013),7.5,76,581329
2522,The Hobbit: The Desolation of Smaug,(2013),7.8,66,570917
2523,World War Z,(2013),7.0,63,560952
2524,Now You See Me,(I) (2013),7.3,50,559564
2525,Thor: The Dark World,(2013),6.9,54,552324
2526,Prisoners,(2013),8.1,74,536989
2527,Frozen,(I) (2013),7.5,74,524394
2528,Her,(2013),8.0,90,477466
2529,Oblivion,(I) (2013),7.0,54,459364
2530,Star Trek Into Darkness,(2013),7.7,72,448389
2531,Pacific Rim,(2013),6.9,65,447746
2532,The Great Gatsby,(2013),7.3,55,440223
2533,American Hustle,(2013),7.2,90,422551
2534,Dallas Buyers Club,(2013),8.0,84,407511
2535,The Wolverine,(2013),6.7,61,407042
2536,The Conjuring,(2013),7.5,68,406463
2537,Elysium,(I) (2013),6.6,61,399795
2538,Rush,(I) (2013),8.1,75,399124
2539,Captain Phillips,(2013),7.8,83,392262
2540,We're the Millers,(2013),7.0,44,376311
2541,This Is the End,(2013),6.6,67,364672
2542,Furious 6,(2013),7.1,61,350880
2543,Despicable Me 2,(2013),7.4,62,348879
2544,Monsters University,(2013),7.3,65,297261
2545,The Secret Life of Walter Mitty,(2013),7.3,54,278160
2546,The Hangover Part III,(2013),5.8,30,275007
2547,About Time,(I) (2013),7.8,55,270663
2548,Lone Survivor,(2013),7.5,60,249721
2549,Snowpiercer,(2013),7.1,84,246625
2550,Kick-Ass 2,(2013),6.5,41,241840
2551,Olympus Has Fallen,(2013),6.5,41,240110
2552,The World's End,(2013),7.0,81,240092
2553,Don Jon,(2013),6.5,66,218193
2554,Escape Plan,(2013),6.7,49,214522
2555,Ender's Game,(2013),6.6,51,213460
2556,The Lone Ranger,(2013),6.4,37,210849
2557,Warm Bodies,(2013),6.9,60,210363
2558,Gangster Squad,(2013),6.7,40,197300
2559,White House Down,(2013),6.4,52,194444
2560,Interstellar,(2014),8.6,74,1329065
2561,Guardians of the Galaxy,(2014),8.1,76,970480
2562,Gone Girl,(2014),8.1,79,775934
2563,Captain America: The Winter Soldier,(2014),7.8,70,680719
2564,The Grand Budapest Hotel,(2014),8.1,88,643980
2565,Whiplash,(2014),8.5,88,631829
2566,The Imitation Game,(2014),8.0,73,630110
2567,X-Men: Days of Future Past,(2014),8.0,75,629071
2568,Edge of Tomorrow,(2014),7.9,71,554928
2569,Kingsman: The Secret Service,(2014),7.7,60,552577
2570,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,528614
2571,John Wick,(2014),7.4,68,475267
2572,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,444050
2573,Ex Machina,(2014),7.7,78,432478
2574,Nightcrawler,(2014),7.9,76,413820
2575,Lucy,(I) (2014),6.4,61,408570
2576,American Sniper,(2014),7.3,72,407276
2577,Divergent,(2014),6.7,48,403704
2578,The Amazing Spider-Man 2,(2014),6.6,53,394169
2579,Dawn of the Planet of the Apes,(2014),7.6,79,393901
2580,The Maze Runner,(2014),6.8,57,391931
2581,Fury,(2014),7.6,64,388536
2582,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,384645
2583,Big Hero 6,(2014),7.8,74,378467
2584,The Theory of Everything,(2014),7.7,72,367304
2585,Godzilla,(2014),6.4,62,357569
2586,22 Jump Street,(2014),7.0,71,324059
2587,The Fault in Our Stars,(2014),7.7,69,320366
2588,Boyhood,(I) (2014),7.9,100,318682
2589,Maleficent,(2014),7.0,56,310762
2590,The Lego Movie,(2014),7.8,83,307945
2591,The Equalizer,(2014),7.2,57,307592
2592,The Interview,(II) (2014),6.5,52,289326
2593,Transformers: Age of Extinction,(2014),5.6,32,286226
2594,How to Train Your Dragon 2,(2014),7.8,76,283441
2595,Neighbors,(I) (2014),6.3,68,269227
2596,300: Rise of an Empire,(2014),6.2,48,266242
2597,Non-Stop,(2014),7.0,56,237128
2598,Noah,(2014),5.8,68,231440
2599,Predestination,(I) (2014),7.5,69,229343
2600,RoboCop,(2014),6.2,52,207571
2601,Transcendence,(I) (2014),6.3,42,206536
2602,Teenage Mutant Ninja Turtles,(2014),5.8,31,193588
2603,It Follows,(2014),6.8,83,187460
2604,Chef,(2014),7.3,68,177966
2605,Interstellar,(2014),8.6,74,1329065
2606,Guardians of the Galaxy,(2014),8.1,76,970480
2607,Gone Girl,(2014),8.1,79,775934
2608,Captain America: The Winter Soldier,(2014),7.8,70,680719
2609,The Grand Budapest Hotel,(2014),8.1,88,643980
2610,Whiplash,(2014),8.5,88,631829
2611,The Imitation Game,(2014),8.0,73,630110
2612,X-Men: Days of Future Past,(2014),8.0,75,629071
2613,Edge of Tomorrow,(2014),7.9,71,554928
2614,Kingsman: The Secret Service,(2014),7.7,60,552577
2615,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,528614
2616,John Wick,(2014),7.4,68,475267
2617,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,444050
2618,Ex Machina,(2014),7.7,78,432478
2619,Nightcrawler,(2014),7.9,76,413820
2620,Lucy,(I) (2014),6.4,61,408570
2621,American Sniper,(2014),7.3,72,407276
2622,Divergent,(2014),6.7,48,403704
2623,The Amazing Spider-Man 2,(2014),6.6,53,394169
2624,Dawn of the Planet of the Apes,(2014),7.6,79,393901
2625,The Maze Runner,(2014),6.8,57,391931
2626,Fury,(2014),7.6,64,388536
2627,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,384645
2628,Big Hero 6,(2014),7.8,74,378467
2629,The Theory of Everything,(2014),7.7,72,367304
2630,Godzilla,(2014),6.4,62,357569
2631,22 Jump Street,(2014),7.0,71,324059
2632,The Fault in Our Stars,(2014),7.7,69,320366
2633,Boyhood,(I) (2014),7.9,100,318682
2634,Maleficent,(2014),7.0,56,310762
2635,The Lego Movie,(2014),7.8,83,307945
2636,The Equalizer,(2014),7.2,57,307592
2637,The Interview,(II) (2014),6.5,52,289326
2638,Transformers: Age of Extinction,(2014),5.6,32,286226
2639,How to Train Your Dragon 2,(2014),7.8,76,283441
2640,Neighbors,(I) (2014),6.3,68,269227
2641,300: Rise of an Empire,(2014),6.2,48,266242
2642,Non-Stop,(2014),7.0,56,237128
2643,Noah,(2014),5.8,68,231440
2644,Predestination,(I) (2014),7.5,69,229343
2645,RoboCop,(2014),6.2,52,207571
2646,Transcendence,(I) (2014),6.3,42,206536
2647,Teenage Mutant Ninja Turtles,(2014),5.8,31,193588
2648,It Follows,(2014),6.8,83,187460
2649,Chef,(2014),7.3,68,177966
2650,Interstellar,(2014),8.6,74,1329065
2651,Guardians of the Galaxy,(2014),8.1,76,970480
2652,Gone Girl,(2014),8.1,79,775934
2653,Captain America: The Winter Soldier,(2014),7.8,70,680719
2654,The Grand Budapest Hotel,(2014),8.1,88,643980
2655,Whiplash,(2014),8.5,88,631829
2656,The Imitation Game,(2014),8.0,73,630110
2657,X-Men: Days of Future Past,(2014),8.0,75,629071
2658,Edge of Tomorrow,(2014),7.9,71,554928
2659,Kingsman: The Secret Service,(2014),7.7,60,552577
2660,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,528614
2661,John Wick,(2014),7.4,68,475267
2662,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,444050
2663,Ex Machina,(2014),7.7,78,432478
2664,Nightcrawler,(2014),7.9,76,413820
2665,Lucy,(I) (2014),6.4,61,408570
2666,American Sniper,(2014),7.3,72,407276
2667,Divergent,(2014),6.7,48,403704
2668,The Amazing Spider-Man 2,(2014),6.6,53,394169
2669,Dawn of the Planet of the Apes,(2014),7.6,79,393901
2670,The Maze Runner,(2014),6.8,57,391931
2671,Fury,(2014),7.6,64,388536
2672,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,384645
2673,Big Hero 6,(2014),7.8,74,378467
2674,The Theory of Everything,(2014),7.7,72,367304
2675,Godzilla,(2014),6.4,62,357569
2676,22 Jump Street,(2014),7.0,71,324059
2677,The Fault in Our Stars,(2014),7.7,69,320366
2678,Boyhood,(I) (2014),7.9,100,318682
2679,Maleficent,(2014),7.0,56,310762
2680,The Lego Movie,(2014),7.8,83,307945
2681,The Equalizer,(2014),7.2,57,307592
2682,The Interview,(II) (2014),6.5,52,289326
2683,Transformers: Age of Extinction,(2014),5.6,32,286226
2684,How to Train Your Dragon 2,(2014),7.8,76,283441
2685,Neighbors,(I) (2014),6.3,68,269227
2686,300: Rise of an Empire,(2014),6.2,48,266242
2687,Non-Stop,(2014),7.0,56,237128
2688,Noah,(2014),5.8,68,231440
2689,Predestination,(I) (2014),7.5,69,229343
2690,RoboCop,(2014),6.2,52,207571
2691,Transcendence,(I) (2014),6.3,42,206536
2692,Teenage Mutant Ninja Turtles,(2014),5.8,31,193588
2693,It Follows,(2014),6.8,83,187460
2694,Chef,(2014),7.3,68,177966
2695,Interstellar,(2014),8.6,74,1329065
2696,Guardians of the Galaxy,(2014),8.1,76,970480
2697,Gone Girl,(2014),8.1,79,775934
2698,Captain America: The Winter Soldier,(2014),7.8,70,680719
2699,The Grand Budapest Hotel,(2014),8.1,88,643980
2700,Whiplash,(2014),8.5,88,631829
2701,The Imitation Game,(2014),8.0,73,630110
2702,X-Men: Days of Future Past,(2014),8.0,75,629071
2703,Edge of Tomorrow,(2014),7.9,71,554928
2704,Kingsman: The Secret Service,(2014),7.7,60,552577
2705,Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87,528614
2706,John Wick,(2014),7.4,68,475267
2707,The Hobbit: The Battle of the Five Armies,(2014),7.4,59,444050
2708,Ex Machina,(2014),7.7,78,432478
2709,Nightcrawler,(2014),7.9,76,413820
2710,Lucy,(I) (2014),6.4,61,408570
2711,American Sniper,(2014),7.3,72,407276
2712,Divergent,(2014),6.7,48,403704
2713,The Amazing Spider-Man 2,(2014),6.6,53,394169
2714,Dawn of the Planet of the Apes,(2014),7.6,79,393901
2715,The Maze Runner,(2014),6.8,57,391931
2716,Fury,(2014),7.6,64,388536
2717,The Hunger Games: Mockingjay - Part 1,(2014),6.6,64,384645
2718,Big Hero 6,(2014),7.8,74,378467
2719,The Theory of Everything,(2014),7.7,72,367304
2720,Godzilla,(2014),6.4,62,357569
2721,22 Jump Street,(2014),7.0,71,324059
2722,The Fault in Our Stars,(2014),7.7,69,320366
2723,Boyhood,(I) (2014),7.9,100,318682
2724,Maleficent,(2014),7.0,56,310762
2725,The Lego Movie,(2014),7.8,83,307945
2726,The Equalizer,(2014),7.2,57,307592
2727,The Interview,(II) (2014),6.5,52,289326
2728,Transformers: Age of Extinction,(2014),5.6,32,286226
2729,How to Train Your Dragon 2,(2014),7.8,76,283441
2730,Neighbors,(I) (2014),6.3,68,269227
2731,300: Rise of an Empire,(2014),6.2,48,266242
2732,Non-Stop,(2014),7.0,56,237128
2733,Noah,(2014),5.8,68,231440
2734,Predestination,(I) (2014),7.5,69,229343
2735,RoboCop,(2014),6.2,52,207571
2736,Transcendence,(I) (2014),6.3,42,206536
2737,Teenage Mutant Ninja Turtles,(2014),5.8,31,193588
2738,It Follows,(2014),6.8,83,187460
2739,Chef,(2014),7.3,68,177966
2740,Mad Max: Fury Road,(2015),8.1,90,795305
2741,Star Wars: Episode VII - The Force Awakens,(2015),8.0,81,794306
2742,The Martian,(2015),8.0,80,693731
2743,Avengers: Age of Ultron,(2015),7.3,66,681789
2744,The Revenant,(2015),8.0,76,634920
2745,Inside Out,(I) (2015),8.2,94,548991
2746,Jurassic World,(2015),7.0,59,546540
2747,Ant-Man,(2015),7.3,64,516233
2748,The Hateful Eight,(2015),7.8,68,455792
2749,Spotlight,(I) (2015),8.1,93,373567
2750,Spectre,(I) (2015),6.8,60,356943
2751,Furious Seven,(2015),7.2,67,339789
2752,Sicario,(2015),7.6,82,335003
2753,Room,(I) (2015),8.2,86,324930
2754,Mission: Impossible - Rogue Nation,(2015),7.4,75,317261
2755,The Big Short,(2015),7.8,81,316769
2756,Fifty Shades of Grey,(2015),4.1,46,282370
2757,Bridge of Spies,(2015),7.6,81,266749
2758,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,258022
2759,The Man from U.N.C.L.E.,(2015),7.3,56,244645
2760,Terminator Genisys,(2015),6.4,38,238033
2761,Creed,(II) (2015),7.6,82,229019
2762,Spy,(2015),7.0,75,216458
2763,Chappie,(2015),6.8,41,216321
2764,Maze Runner: The Scorch Trials,(2015),6.3,43,204555
2765,Southpaw,(2015),7.4,57,202948
2766,Insurgent,(2015),6.2,42,202571
2767,Minions,(2015),6.4,56,197435
2768,San Andreas,(2015),6.0,43,196027
2769,Focus,(II) (2015),6.6,56,195246
2770,The Intern,(I) (2015),7.1,51,194955
2771,The Lobster,(2015),7.1,82,188105
2772,Everest,(2015),7.1,64,183408
2773,Ted 2,(2015),6.3,48,169183
2774,Jupiter Ascending,(2015),5.3,40,168989
2775,Straight Outta Compton,(2015),7.9,72,167318
2776,Tomorrowland,(2015),6.4,60,163131
2777,The VVitch: A New-England Folktale,(2015),6.8,83,160783
2778,Black Mass,(2015),6.9,68,157659
2779,The Danish Girl,(2015),7.1,66,149364
2780,Cinderella,(I) (2015),6.9,67,146299
2781,Legend,(I) (2015),6.9,55,141962
2782,Fantastic Four,(2015),4.3,27,141926
2783,The Age of Adaline,(2015),7.2,51,141607
2784,Mad Max: Fury Road,(2015),8.1,90,795305
2785,Star Wars: Episode VII - The Force Awakens,(2015),8.0,81,794306
2786,The Martian,(2015),8.0,80,693731
2787,Avengers: Age of Ultron,(2015),7.3,66,681789
2788,The Revenant,(2015),8.0,76,634920
2789,Inside Out,(I) (2015),8.2,94,548991
2790,Jurassic World,(2015),7.0,59,546540
2791,Ant-Man,(2015),7.3,64,516233
2792,The Hateful Eight,(2015),7.8,68,455792
2793,Spotlight,(I) (2015),8.1,93,373567
2794,Spectre,(I) (2015),6.8,60,356943
2795,Furious Seven,(2015),7.2,67,339789
2796,Sicario,(2015),7.6,82,335003
2797,Room,(I) (2015),8.2,86,324930
2798,Mission: Impossible - Rogue Nation,(2015),7.4,75,317261
2799,The Big Short,(2015),7.8,81,316769
2800,Fifty Shades of Grey,(2015),4.1,46,282370
2801,Bridge of Spies,(2015),7.6,81,266749
2802,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,258022
2803,The Man from U.N.C.L.E.,(2015),7.3,56,244645
2804,Terminator Genisys,(2015),6.4,38,238033
2805,Creed,(II) (2015),7.6,82,229019
2806,Spy,(2015),7.0,75,216458
2807,Chappie,(2015),6.8,41,216321
2808,Maze Runner: The Scorch Trials,(2015),6.3,43,204555
2809,Southpaw,(2015),7.4,57,202948
2810,Insurgent,(2015),6.2,42,202571
2811,Minions,(2015),6.4,56,197435
2812,San Andreas,(2015),6.0,43,196027
2813,Focus,(II) (2015),6.6,56,195246
2814,The Intern,(I) (2015),7.1,51,194955
2815,The Lobster,(2015),7.1,82,188105
2816,Everest,(2015),7.1,64,183408
2817,Ted 2,(2015),6.3,48,169183
2818,Jupiter Ascending,(2015),5.3,40,168989
2819,Straight Outta Compton,(2015),7.9,72,167318
2820,Tomorrowland,(2015),6.4,60,163131
2821,The VVitch: A New-England Folktale,(2015),6.8,83,160783
2822,Black Mass,(2015),6.9,68,157659
2823,The Danish Girl,(2015),7.1,66,149364
2824,Cinderella,(I) (2015),6.9,67,146299
2825,Legend,(I) (2015),6.9,55,141962
2826,Fantastic Four,(2015),4.3,27,141926
2827,The Age of Adaline,(2015),7.2,51,141607
2828,Mad Max: Fury Road,(2015),8.1,90,795305
2829,Star Wars: Episode VII - The Force Awakens,(2015),8.0,81,794306
2830,The Martian,(2015),8.0,80,693731
2831,Avengers: Age of Ultron,(2015),7.3,66,681789
2832,The Revenant,(2015),8.0,76,634920
2833,Inside Out,(I) (2015),8.2,94,548991
2834,Jurassic World,(2015),7.0,59,546540
2835,Ant-Man,(2015),7.3,64,516233
2836,The Hateful Eight,(2015),7.8,68,455792
2837,Spotlight,(I) (2015),8.1,93,373567
2838,Spectre,(I) (2015),6.8,60,356943
2839,Furious Seven,(2015),7.2,67,339789
2840,Sicario,(2015),7.6,82,335003
2841,Room,(I) (2015),8.2,86,324930
2842,Mission: Impossible - Rogue Nation,(2015),7.4,75,317261
2843,The Big Short,(2015),7.8,81,316769
2844,Fifty Shades of Grey,(2015),4.1,46,282370
2845,Bridge of Spies,(2015),7.6,81,266749
2846,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,258022
2847,The Man from U.N.C.L.E.,(2015),7.3,56,244645
2848,Terminator Genisys,(2015),6.4,38,238033
2849,Creed,(II) (2015),7.6,82,229019
2850,Spy,(2015),7.0,75,216458
2851,Chappie,(2015),6.8,41,216321
2852,Maze Runner: The Scorch Trials,(2015),6.3,43,204555
2853,Southpaw,(2015),7.4,57,202948
2854,Insurgent,(2015),6.2,42,202571
2855,Minions,(2015),6.4,56,197435
2856,San Andreas,(2015),6.0,43,196027
2857,Focus,(II) (2015),6.6,56,195246
2858,The Intern,(I) (2015),7.1,51,194955
2859,The Lobster,(2015),7.1,82,188105
2860,Everest,(2015),7.1,64,183408
2861,Ted 2,(2015),6.3,48,169183
2862,Jupiter Ascending,(2015),5.3,40,168989
2863,Straight Outta Compton,(2015),7.9,72,167318
2864,Tomorrowland,(2015),6.4,60,163131
2865,The VVitch: A New-England Folktale,(2015),6.8,83,160783
2866,Black Mass,(2015),6.9,68,157659
2867,The Danish Girl,(2015),7.1,66,149364
2868,Cinderella,(I) (2015),6.9,67,146299
2869,Legend,(I) (2015),6.9,55,141962
2870,Fantastic Four,(2015),4.3,27,141926
2871,The Age of Adaline,(2015),7.2,51,141607
2872,Mad Max: Fury Road,(2015),8.1,90,795305
2873,Star Wars: Episode VII - The Force Awakens,(2015),8.0,81,794306
2874,The Martian,(2015),8.0,80,693731
2875,Avengers: Age of Ultron,(2015),7.3,66,681789
2876,The Revenant,(2015),8.0,76,634920
2877,Inside Out,(I) (2015),8.2,94,548991
2878,Jurassic World,(2015),7.0,59,546540
2879,Ant-Man,(2015),7.3,64,516233
2880,The Hateful Eight,(2015),7.8,68,455792
2881,Spotlight,(I) (2015),8.1,93,373567
2882,Spectre,(I) (2015),6.8,60,356943
2883,Furious Seven,(2015),7.2,67,339789
2884,Sicario,(2015),7.6,82,335003
2885,Room,(I) (2015),8.2,86,324930
2886,Mission: Impossible - Rogue Nation,(2015),7.4,75,317261
2887,The Big Short,(2015),7.8,81,316769
2888,Fifty Shades of Grey,(2015),4.1,46,282370
2889,Bridge of Spies,(2015),7.6,81,266749
2890,The Hunger Games: Mockingjay - Part 2,(2015),6.5,65,258022
2891,The Man from U.N.C.L.E.,(2015),7.3,56,244645
2892,Terminator Genisys,(2015),6.4,38,238033
2893,Creed,(II) (2015),7.6,82,229019
2894,Spy,(2015),7.0,75,216458
2895,Chappie,(2015),6.8,41,216321
2896,Maze Runner: The Scorch Trials,(2015),6.3,43,204555
2897,Southpaw,(2015),7.4,57,202948
2898,Insurgent,(2015),6.2,42,202571
2899,Minions,(2015),6.4,56,197435
2900,San Andreas,(2015),6.0,43,196027
2901,Focus,(II) (2015),6.6,56,195246
2902,The Intern,(I) (2015),7.1,51,194955
2903,The Lobster,(2015),7.1,82,188105
2904,Everest,(2015),7.1,64,183408
2905,Ted 2,(2015),6.3,48,169183
2906,Jupiter Ascending,(2015),5.3,40,168989
2907,Straight Outta Compton,(2015),7.9,72,167318
2908,Tomorrowland,(2015),6.4,60,163131
2909,The VVitch: A New-England Folktale,(2015),6.8,83,160783
2910,Black Mass,(2015),6.9,68,157659
2911,The Danish Girl,(2015),7.1,66,149364
2912,Cinderella,(I) (2015),6.9,67,146299
2913,Legend,(I) (2015),6.9,55,141962
2914,Fantastic Four,(2015),4.3,27,141926
2915,The Age of Adaline,(2015),7.2,51,141607
2916,Deadpool,(2016),8.0,65,837423
2917,Captain America: Civil War,(2016),7.8,75,600763
2918,Batman v Superman: Dawn of Justice,(2016),6.5,44,585090
2919,Suicide Squad,(2016),6.0,40,545131
2920,Doctor Strange,(2016),7.5,72,532967
2921,Arrival,(II) (2016),7.9,81,528934
2922,Rogue One,(2016),7.8,65,488419
2923,La La Land,(I) (2016),8.0,93,446630
2924,Zootopia,(2016),8.0,78,391969
2925,Hacksaw Ridge,(2016),8.1,71,377314
2926,Fantastic Beasts and Where to Find Them,(2016),7.3,66,373251
2927,Split,(IX) (2016),7.3,62,372654
2928,X-Men: Apocalypse,(2016),6.9,52,365828
2929,Passengers,(I) (2016),7.0,41,317392
2930,10 Cloverfield Lane,(2016),7.2,76,265442
2931,The Nice Guys,(2016),7.4,70,246517
2932,The Jungle Book,(2016),7.4,77,244558
2933,The Accountant,(2016),7.3,51,237617
2934,Moonlight,(I) (2016),7.4,99,234797
2935,Moana,(I) (2016),7.6,81,231850
2936,Warcraft,(2016),6.8,32,228556
2937,Now You See Me 2,(2016),6.5,46,221367
2938,Manchester by the Sea,(2016),7.8,96,219420
2939,Finding Dory,(2016),7.3,77,218295
2940,Star Trek Beyond,(2016),7.1,68,212843
2941,Nocturnal Animals,(2016),7.5,67,210877
2942,Sully,(2016),7.4,74,208425
2943,The Conjuring 2,(2016),7.3,65,201233
2944,Jason Bourne,(I) (2016),6.6,58,193356
2945,Don't Breathe,(2016),7.1,71,192503
2946,Ghostbusters,(2016),5.2,60,190132
2947,Lion,(2016),8.0,69,186666
2948,Hell or High Water,(II) (2016),7.6,88,180820
2949,Me Before You,(2016),7.4,51,180751
2950,Hidden Figures,(2016),7.8,74,175707
2951,The Magnificent Seven,(2016),6.9,54,171176
2952,Assassin's Creed,(2016),5.7,36,169838
2953,The Secret Life of Pets,(2016),6.5,61,168075
2954,The Promise,(II) (2016),5.9,49,164962
2955,Captain Fantastic,(2016),7.9,72,164278
2956,Sausage Party,(2016),6.2,66,161897
2957,War Dogs,(2016),7.1,57,158032
2958,Independence Day: Resurgence,(2016),5.2,32,157352
2959,The Girl on the Train,(I) (2016),6.5,48,154701
2960,The Legend of Tarzan,(2016),6.2,44,152659
2961,Miss Peregrine's Home for Peculiar Children,(2016),6.7,57,143616
2962,Kimi no na wa.,(2016),8.4,79,143150
2963,Deadpool,(2016),8.0,65,837423
2964,Captain America: Civil War,(2016),7.8,75,600763
2965,Batman v Superman: Dawn of Justice,(2016),6.5,44,585090
2966,Suicide Squad,(2016),6.0,40,545131
2967,Doctor Strange,(2016),7.5,72,532967
2968,Arrival,(II) (2016),7.9,81,528934
2969,Rogue One,(2016),7.8,65,488419
2970,La La Land,(I) (2016),8.0,93,446630
2971,Zootopia,(2016),8.0,78,391969
2972,Hacksaw Ridge,(2016),8.1,71,377314
2973,Fantastic Beasts and Where to Find Them,(2016),7.3,66,373251
2974,Split,(IX) (2016),7.3,62,372654
2975,X-Men: Apocalypse,(2016),6.9,52,365828
2976,Passengers,(I) (2016),7.0,41,317392
2977,10 Cloverfield Lane,(2016),7.2,76,265442
2978,The Nice Guys,(2016),7.4,70,246517
2979,The Jungle Book,(2016),7.4,77,244558
2980,The Accountant,(2016),7.3,51,237617
2981,Moonlight,(I) (2016),7.4,99,234797
